type, d, D, B, C, C0, Pu, n_ref, n_limit, mass, designation, capped_one_side, kr, f0
s_row, 3, 10, 4, 0.54, 0.18, 0.007, 130000, 80000, 0.0015, 623, , 0.025, 7.5
s_row, 3, 10, 4, 0.54, 0.18, 0.007, , 40000, 0.0015, 623-2RS1, 623-RS1, 0.025, 7.5
s_row, 3, 10, 4, 0.54, 0.18, 0.007, 130000, 60000, 0.0015, 623-2Z, 623-Z, 0.025, 7.5
s_row, 4, 9, 2.5, 0.423, 0.18, 0.008, 140000, 85000, 0.0017, 618/4, , 0.015, 6.5
s_row, 4, 9, 3.5, 0.54, 0.18, 0.008, 140000, 70000, 0.0017, 628/4-2Z, , 0.015, 10
s_row, 4, 9, 4, 0.54, 0.18, 0.008, 140000, 70000, 0.0013, 638/4-2Z, , 0.015, 10
s_row, 4, 11, 4, 0.624, 0.18, 0.008, 130000, 63000, 0.0017, 619/4-2Z, , 0.02, 6.4
s_row, 4, 11, 4, 0.624, 0.18, 0.008, 130000, 80000, 0.0017, 619/4, , 0.02, 6.4
s_row, 4, 12, 4, 0.806, 0.18, 0.008, 120000, 75000, 0.0021, 604, , 0.025, 10
s_row, 4, 12, 4, 0.806, 0.28, 0.012, 120000, 60000, 0.0021, 604-2Z, 604-Z, 0.025, 10
s_row, 4, 13, 5, 0.936, 0.29, 0.012, 110000, 67000, 0.0031, 624, , 0.025, 10
s_row, 4, 13, 5, 0.936, 0.29, 0.012, 110000, 53000, 0.0031, 624-2Z, 624-Z, 0.025, 7.3
s_row, 4, 16, 5, 1.11, 0.38, 0.016, 95000, 60000, 0.0054, 634, , 0.03, 8.4
s_row, 4, 16, 5, 1.11, 0.38, 0.016, , 28000, 0.0054, 634-2RS1, 634-RS1, 0.03, 8.4
s_row, 4, 16, 5, 1.11, 0.38, 0.016, 95000, 48000, 0.0054, 634-2RZ, 634-RZ, 0.03, 8.4
s_row, 4, 16, 5, 1.11, 0.38, 0.016, 95000, 48000, 0.0054, 634-2Z, 634-RZ, 0.03, 8.4
s_row, 5, 11, 3, 0.468, 0.143, 0.006, 120000, 75000, 0.0012, 618/5, , 0.015, 7.1
s_row, 5, 11, 4, 0.64, 0.26, 0.011, 120000, 60000, 0.0014, 628/5-2Z, , 0.015, 11
s_row, 5, 11, 5, 0.64, 0.26, 0.011, 120000, 60000, 0.0016, 638/5-2Z, , 0.015, 11
s_row, 5, 13, 4, 0.884, 0.335, 0.014, 110000, 50000, 0.0025, 619/5-2Z, , 0.02, 11
s_row, 5, 13, 4, 0.884, 0.335, 0.014, 110000, 70000, 0.0025, 619/5, , 0.02, 11
s_row, 5, 16, 5, 1.14, 0.38, 0.016, 95000, 60000, 0.005, 625, , 0.03, 8.4
s_row, 5, 16, 5, 2.34, 0.95, 0.04, 80000, 50000, 0.0085, 625-2Z, 625-Z, 0.03, 13
s_row, 5, 19, 6, 2.34, 0.95, 0.04, 80000, 50000, 0.009, 635, , 0.03, 13
s_row, 5, 19, 6, 2.34, 0.95, 0.04, , 24000, 0.009, 635-2RS1, 635-RS1, 0.03, 13
s_row, 5, 19, 6, 2.34, 0.95, 0.04, 80000, 40000, 0.009, 635-2RZ, 635-RZ, 0.03, 13
s_row, 5, 19, 6, 2.34, 0.95, 0.04, 80000, 40000, 0.0093, 635-2Z, 635-Z, 0.03, 13
s_row, 6, 13, 3.5, 0.715, 0.224, 0.01, 110000, 67000, 0.002, 618/6, , 0.015, 7
s_row, 6, 13, 5, 0.88, 0.35, 0.015, 110000, 53000, 0.0026, 628/6-2Z, , 0.015, 11
s_row, 6, 15, 5, 0.884, 0.27, 0.011, 100000, 50000, 0.0039, 619/6-2Z, , 0.02, 6.8
s_row, 6, 15, 5, 0.884, 0.27, 0.011, 100000, 63000, 0.0039, 619/6, , 0.02, 6.8
s_row, 6, 19, 6, 2.34, 0.95, 0.04, 80000, 50000, 0.0081, 626, , 0.025, 13
s_row, 6, 19, 6, 2.34, 0.95, 0.04, , 24000, 0.0083, 626-2RSH, 626-RSH, 0.025, 13
s_row, 6, 19, 6, 2.34, 0.95, 0.04, 80000, 40000, 0.0083, 626-2RSL, 626-RSL, 0.025, 13
s_row, 6, 19, 6, 2.34, 0.95, 0.04, 80000, 40000, 0.0088, 626-2Z, 626-Z, 0.025, 13
s_row, 7, 14, 3.5, 0.78, 0.26, 0.011, 100000, 63000, 0.0022, 618/7, , 0.015, 7.2
s_row, 7, 14, 5, 0.956, 0.4, 0.017, 100000, 50000, 0.0031, 628/7-2Z, , 0.015, 11
s_row, 7, 17, 5, 1.06, 0.375, 0.016, 90000, 45000, 0.0049, 619/7-2Z, , 0.02, 7.3
s_row, 7, 17, 5, 1.06, 0.375, 0.016, 90000, 56000, 0.0049, 619/7, , 0.02, 7.3
s_row, 7, 19, 6, 2.34, 0.95, 0.04, 85000, 53000, 0.0076, 607, , 0.025, 13
s_row, 7, 19, 6, 2.34, 0.95, 0.04, , 24000, 0.0078, 607-2RSH, 607-RSH, 0.025, 13
s_row, 7, 19, 6, 2.34, 0.95, 0.04, 85000, 43000, 0.0078, 607-2RSL, 607-RSL, 0.025, 13
s_row, 7, 19, 6, 2.34, 0.95, 0.04, 85000, 43000, 0.0084, 607-2Z, 607-Z, 0.025, 13
